datayear,buildingtype,primarypropertytype,councildistrictcode,neighborhood,latitude,longitude,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuilding(s),largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,secondlargestpropertyusetypegfa,thirdlargestpropertyusetype,thirdlargestpropertyusetypegfa,siteenergyuse(kbtu),defaultdata,usage_type,BuildingAge,ParkingRatio,BuildingRatio,IsMultiUse,NumberPropertyUses
2016,NonResidential,Senior Care Community,5,NORTHWEST,47.72426,-122.35599,1.0,2,93397,0,93397,Senior Care Community,93397.0,,,,,16402563.0,False,Mono-usage,46,0.0,1.0,0,1
2016,NonResidential,Hotel,7,LAKE UNION,47.61988,-122.33211,1.0,6,84103,20732,63371,Hotel,63371.0,Parking,20732.0,,,3706100.25,False,Multi-usages,8,0.2465072589562798,0.7534927410437202,1,2
2016,NonResidential,Medical Office,3,EAST,47.61244,-122.3214,0.0,3,179014,0,179014,Medical Office,179014.0,,,,,16701055.0,False,Mono-usage,51,0.0,1.0,0,1
2016,NonResidential,Hotel,3,EAST,47.60898,-122.32693,1.0,7,76631,0,76631,Hotel,76631.0,,,,,7258758.5,False,Mono-usage,108,0.0,1.0,0,1
2016,NonResidential,Mixed Use Property,3,EAST,47.60845,-122.32637,1.0,6,99780,9341,90439,Medical Office,40174.0,Parking,20868.0,Office,17020.0,15473117.0,False,Multi-usages,33,0.09361595510122268,0.9063840448987773,1,6
2016,NonResidential,Retail Store,7,LAKE UNION,47.62237,-122.33805,1.0,2,58320,0,58320,Retail Store,72072.0,,,,,1049748.625,False,Mono-usage,87,0.0,1.0,0,1
2016,NonResidential,Large Office,7,LAKE UNION,47.62424,-122.33646,1.0,5,316306,0,316306,Office,261826.0,Parking,150726.0,Other,15139.0,13795954.0,False,Multi-usages,6,0.0,1.0,1,4
2016,NonResidential,Hotel,3,LAKE UNION,47.62642,-122.33325,1.0,7,282863,44766,238097,Hotel,235788.0,Parking,51537.0,,,19459304.0,False,Multi-usages,26,0.15826035925518714,0.8417396407448129,1,2
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,1,389000,0,389000,Other,368000.0,,,,,23658978.0,False,Mono-usage,54,0.0,1.0,0,1
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,1,91213,0,91213,Other,65000.0,,,,,8141155.5,False,Mono-usage,54,0.0,1.0,0,1
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,5,396085,0,396085,Other,278500.0,,,,,20955026.0,False,Mono-usage,78,0.0,1.0,0,1
2016,NonResidential,Large Office,7,LAKE UNION,47.62112,-122.33629,1.0,12,571329,0,571329,Office,598801.0,Parking,310699.0,Other,26203.0,39605888.0,False,Multi-usages,6,0.0,1.0,1,3
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1.0,2,52000,0,52000,Other,52000.0,,,,,2726369.0,False,Mono-usage,54,0.0,1.0,0,1
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1.0,1,60696,0,60696,Other,108000.0,,,,,875943.3125,False,Mono-usage,88,0.0,1.0,0,1
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1.0,2,262048,0,262048,Other,296000.0,,,,,20723248.0,False,Mono-usage,88,0.0,1.0,0,1
2016,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,0.0,2,66240,2352,63888,Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,4166306.25,False,Multi-usages,30,0.035507246376811595,0.9644927536231884,1,5
2016,NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,1.0,6,920598,303707,616891,Office,729584.0,Parking,185014.0,Other,6000.0,36667044.0,False,Multi-usages,6,0.3299018681335393,0.6700981318664607,1,3
2016,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1.0,4,76213,25930,50283,Office,48546.0,Parking,21454.0,Other,2406.0,3476212.5,False,Multi-usages,46,0.3402306693083857,0.6597693306916143,1,3
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,1.0,6,96910,36934,59976,Hotel,59976.0,Parking,36934.0,,,5155568.5,False,Multi-usages,14,0.3811164998452172,0.6188835001547828,1,2
2016,NonResidential,Hotel,4,NORTHEAST,47.65772,-122.31756,2.0,4,50017,0,50017,Hotel,50017.0,Swimming Pool,0.0,,,5448975.0,False,Multi-usages,54,0.0,1.0,1,2
2016,NonResidential,K-12 School,3,EAST,47.62548,-122.30828,1.0,3,67743,0,67743,K-12 School,67743.0,,,,,2646879.0,False,Mono-usage,93,0.0,1.0,0,1
2016,NonResidential,K-12 School,3,EAST,47.62644,-122.30429,1.0,6,194104,0,194104,K-12 School,194104.0,,,,,6219841.5,False,Mono-usage,108,0.0,1.0,0,1
2016,NonResidential,Small- and Mid-Sized Office,3,SOUTHEAST,47.58408,-122.30125,1.0,3,99433,35752,63681,Office,63681.0,Parking,35752.0,,,4897760.0,False,Multi-usages,13,0.35955869781662025,0.6404413021833798,1,2
2016,NonResidential,Other,4,NORTHEAST,47.67524,-122.31534,1.0,4,56521,0,56521,Other,49000.0,,,,,6357632.0,False,Mono-usage,75,0.0,1.0,0,1
2016,NonResidential,Other,4,NORTHEAST,47.67559,-122.31769,1.0,2,206934,0,206934,Other,119146.0,Parking,0.0,,,4253577.5,False,Multi-usages,87,0.0,1.0,1,2
2016,NonResidential,Hotel,5,NORTHWEST,47.73141,-122.3458,1.0,4,51390,0,51390,Hotel,51390.0,Parking,0.0,,,3611538.0,False,Multi-usages,15,0.0,1.0,1,2
2016,NonResidential,Hotel,5,NORTHWEST,47.72551,-122.3423,1.0,3,69138,0,69138,Hotel,70609.0,,,,,3242458.0,False,Mono-usage,14,0.0,1.0,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.6048,-122.3368,1.0,5,190980,0,190980,Hotel,190980.0,Parking,19051.0,,,6505995.0,False,Multi-usages,112,0.0,1.0,1,2
2016,Nonresidential COS,Other,7,DOWNTOWN,47.60804,-122.3367,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,189750.0,,,,,14641502.0,False,Mono-usage,18,0.0,1.0,0,1
2016,NonResidential,Hospital,6,BALLARD,47.66737,-122.37956,4.0,5,285333,0,285333,Hospital (General Medical & Surgical),302661.0,Parking,148865.0,,,68090728.0,False,Multi-usages,62,0.0,1.0,1,2
2016,Nonresidential COS,Other,2,DOWNTOWN,47.60112,-122.32785,1.0,4,61156,0,61156,Other,42755.0,Office,29219.0,,,9363374.0,False,Multi-usages,10,0.0,1.0,1,2
2016,NonResidential,Other,2,DOWNTOWN,47.59809,-122.32283,1.0,4,72820,13820,59000,Museum,58000.0,,,,,2010454.625,False,Mono-usage,106,0.1897830266410327,0.8102169733589674,0,1
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1.0,4,162222,14200,148022,Hotel,113702.0,Parking,32692.0,,,7946961.0,False,Multi-usages,20,0.08753436648543354,0.9124656335145664,1,2
2016,NonResidential,University,3,EAST,47.61495,-122.32177,1.0,3,63330,0,63330,College/University,64820.0,,,,,3059758.0,False,Mono-usage,101,0.0,1.0,0,1
2016,NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.67828,-122.26456,1.0,2,96300,0,96300,Office,92300.0,Data Center,4944.0,,,16319835.0,False,Multi-usages,14,0.0,1.0,1,2
2016,Nonresidential COS,Other,2,GREATER DUWAMISH,47.59545,-122.32146,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,,,,7475577.5,False,Mono-usage,66,0.0,1.0,1,4
2016,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.53827,-122.28406,1.0,1,54765,0,54765,Office,25765.0,Other,25000.0,,,4253369.5,False,Multi-usages,58,0.0,1.0,1,2
2016,NonResidential,Other,2,GREATER DUWAMISH,47.53722,-122.284,1.0,5,89821,0,89821,Other - Lodging/Residential,46483.0,Office,37938.0,Food Service,4579.0,1950092.5,False,Multi-usages,7,0.0,1.0,1,3
2016,NonResidential,University,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1.0,2,52611,0,52611,College/University,52611.0,,,,,4116871.5,False,Mono-usage,36,0.0,1.0,0,1
2016,NonResidential,Residence Hall,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,1.0,4,139600,37500,102100,Residence Hall/Dormitory,135520.0,,,,,4448582.5,False,Mono-usage,15,0.2686246418338109,0.7313753581661891,0,1
2016,NonResidential,Other,3,CENTRAL,47.60462,-122.31549,3.0,6,250981,0,250981,Other,137565.0,Courthouse,78357.0,,,13071700.0,False,Multi-usages,45,0.0,1.0,1,2
2016,NonResidential,Other,7,DOWNTOWN,47.61598,-122.33448,1.0,11,299070,68432,230638,Other,250000.0,,,,,65336980.0,False,Mono-usage,12,0.22881599625505736,0.7711840037449427,0,1
2016,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.536,-122.31768,1.0,3,64015,0,64015,Office,30000.0,Non-Refrigerated Warehouse,15000.0,Other - Services,9015.0,3242077.75,False,Multi-usages,9,0.0,1.0,1,3
2016,NonResidential,Retail Store,5,NORTH,47.70759,-122.3255,1.0,1,530039,0,530039,Retail Store,505103.0,Restaurant,24936.0,,,27717034.0,False,Multi-usages,65,0.0,1.0,1,2
2016,NonResidential,Other,5,NORTH,47.7066,-122.321,1.0,3,54224,0,54224,Other/Specialty Hospital,47012.0,,,,,7265178.0,False,Mono-usage,52,0.0,1.0,0,1
2016,NonResidential,Retail Store,5,NORTH,47.70619,-122.32586,1.0,4,124342,0,124342,Retail Store,122000.0,,,,,8765978.0,False,Mono-usage,51,0.0,1.0,0,1
2016,NonResidential,Hospital,4,NORTHEAST,47.66231,-122.28146,6.0,10,879000,0,879000,Hospital (General Medical & Surgical),879000.0,,,,,253832464.0,False,Mono-usage,63,0.0,1.0,0,1
2016,NonResidential,Other,5,NORTHWEST,47.70956,-122.3345,1.0,3,55442,0,55442,Financial Office,28636.0,Parking,15385.0,Medical Office,8644.0,3191228.25,False,Multi-usages,20,0.0,1.0,1,3
2016,NonResidential,Self-Storage Facility,3,EAST,47.61233,-122.3171,1.0,5,84870,0,84870,Self-Storage Facility,85521.0,,,,,1381590.125,False,Mono-usage,106,0.0,1.0,0,1
2016,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55152,-122.31869,1.0,4,114297,0,114297,Non-Refrigerated Warehouse,114297.0,,,,,2100097.75,False,Mono-usage,112,0.0,1.0,0,1
2016,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55901,-122.33328,1.0,1,234144,0,234144,Non-Refrigerated Warehouse,234144.0,,,,,6744317.0,False,Mono-usage,79,0.0,1.0,0,1
2016,NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1.0,1,64984,0,64984,Retail Store,65425.0,,,,,2944296.25,False,Mono-usage,50,0.0,1.0,0,1
2016,NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1.0,1,67745,0,67745,Retail Store,67782.0,,,,,9230223.0,False,Mono-usage,51,0.0,1.0,0,1
2016,NonResidential,Other,6,BALLARD,47.67767,-122.39631,1.0,3,56000,0,56000,Other,56000.0,,,,,1851260.5,False,Mono-usage,43,0.0,1.0,0,1
2016,NonResidential,Self-Storage Facility,1,SOUTHWEST,47.54508,-122.37737,1.0,2,52088,0,52088,Self-Storage Facility,52088.0,,,,,1377519.5,False,Mono-usage,47,0.0,1.0,0,1
2016,NonResidential,Hotel,3,LAKE UNION,47.62972,-122.32906,1.0,5,123920,30000,93920,Hotel,123920.0,Parking,30000.0,Swimming Pool,0.0,9373179.0,False,Multi-usages,18,0.2420916720464816,0.7579083279535184,1,3
2016,Nonresidential COS,Other,3,LAKE UNION,47.62759,-122.33661,1.0,1,50000,0,50000,Museum,43000.0,,,,,7548807.0,False,Mono-usage,116,0.0,1.0,0,1
2016,Nonresidential COS,Warehouse,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1.0,2,50292,0,50292,Non-Refrigerated Warehouse,42345.0,Residence Hall/Dormitory,5000.0,Office,4730.0,430473.6875,False,Multi-usages,90,0.0,1.0,1,4
