OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),ComplianceStatus,Outlier,usage_type
26237,2016,NonResidential,Mixed Use Property,Daniel Smith Inc,4150 1st Avenue South,Seattle,WA,98134.0,6172900320,2,GREATER DUWAMISH,47.56555,-122.33362,1947,1.0,1,30496,0,30496,"Manufacturing/Industrial Plant, Office, Retail Store",Retail Store,14344.0,Manufacturing/Industrial Plant,10272.0,Office,8012.0,,1992158.25,Compliant,,Multi-usages
26254,2016,NonResidential,Small- and Mid-Sized Office,1605 Boylston,610 E Pine Street,Seattle,WA,98122.0,8804900480,3,EAST,47.61545,-122.3238,1922,1.0,3,27600,0,27600,"Office, Retail Store",Office,13175.0,Retail Store,9175.0,,,,1072151.375,Compliant,,Multi-usages
26289,2016,NonResidential,Senior Care Community,Columbia Lutheran Home,4700 Phinney Avenue North,Seattle,WA,98103.0,9521100080,6,Northwest,47.66312,-122.35311,1961,1.0,2,55974,0,55974,Senior Care Community,Senior Care Community,56000.0,,,,,,6135173.0,Compliant,,Mono-usage
26324,2016,NonResidential,Senior Care Community,Saint Anne Nursing and Rehab Center,3540 NE 110th St,Seattle,WA,98125.0,4077800532,5,NORTH,47.70883,-122.28887,1954,1.0,1,22583,0,22583,Senior Care Community,Senior Care Community,22583.0,,,,,,1981360.0,Compliant,,Mono-usage
26331,2016,NonResidential,Small- and Mid-Sized Office,Solid Ground,1501 N. 45th ST.,Seattle,WA,98103.0,4083300310,4,LAKE UNION,47.66117,-122.3391,1997,0.0,3,31686,7358,24328,"Food Service, Library, Office, Parking",Office,25927.0,Parking,6750.0,Food Service,3743.0,,2305643.5,Compliant,,Multi-usages
26348,2016,NonResidential,Small- and Mid-Sized Office,Lake Union Place,1914 N 34th Street,Seattle,WA,98103.0,4083306580,4,LAKE UNION,47.6483,-122.33438,1981,1.0,3,26694,6034,20660,"Office, Parking",Office,24914.0,Parking,4720.0,,,,720170.6875,Compliant,,Multi-usages
26359,2016,NonResidential,Warehouse,Hansen Bros.,10750 Aurora Ave N,Seattle,WA,98133.0,6300000010,5,NORTHWEST,47.70833,-122.34429,1972,1.0,1,29400,0,29400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,25000.0,,,,,,227509.5,Compliant,,Mono-usage
26379,2016,NonResidential,Hotel,Georgetown Inn,6100 Corson Ave South,Seattle,WA,98108.0,6920700025,2,GREATER DUWAMISH,47.54774,-122.32091,1992,1.0,3,22452,0,22452,Hotel,Hotel,22452.0,,,,,,1244150.0,Compliant,,Mono-usage
26392,2016,NonResidential,Other,192741-University,4500 University Way Ne,Seattle,WA,98105.0,8816400105,4,NORTHEAST,47.66148,-122.31279,1912,1.0,2,25767,0,25767,Bank Branch,Bank Branch,17434.0,,,,,,1581352.75,Compliant,,Mono-usage
26393,2016,NonResidential,Retail Store,4518 University,4518 University Way NE,Seattle,WA,98105.0,8816400135,4,NORTHEAST,47.66188,-122.31279,1953,1.0,4,33910,0,33910,"Office, Retail Store",Retail Store,14585.0,Office,14462.0,,,,1822834.25,Compliant,,Multi-usages
