datayear,buildingtype,primarypropertytype,councildistrictcode,neighborhood,latitude,longitude,yearbuilt,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuilding(s),listofallpropertyusetypes,largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,secondlargestpropertyusetypegfa,thirdlargestpropertyusetype,thirdlargestpropertyusetypegfa,energystarscore,siteenergyuse(kbtu),defaultdata,totalghgemissions,ghgemissionsintensity,usage_type,BuildingAge,ParkingRatio,BuildingRatio,IsMultiUse,NumberPropertyUses
2016,NonResidential,Hotel,7,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,,,,,30.0,16016644.0,False,691.26,4.51,Mono-usage,47,0.1258724365545203,0.8741275634454797,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,,,,,36.0,26941110.0,False,740.97,2.22,Mono-usage,18,0.1835696448723797,0.8164303551276202,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,,,,,48.0,6596057.5,False,328.23,5.05,Mono-usage,88,0.0,1.0,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,58.0,22325364.0,False,648.62,2.05,Multi-usages,36,0.1823061730895832,0.8176938269104168,1,2
2016,NonResidential,Hotel,7,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,35.0,10750010.0,False,511.39,5.55,Multi-usages,94,0.2733485193621868,0.7266514806378133,1,2
2016,Nonresidential COS,Other,7,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,18588860.0,False,181.38,0.44,Multi-usages,12,0.1383495145631068,0.8616504854368932,1,3
2016,NonResidential,Other,7,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,9956396.0,False,433.86,4.18,Multi-usages,86,0.0,1.0,1,3
2016,NonResidential,Hotel,7,DOWNTOWN,47.60681,-122.33078,1983,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,31.0,33556756.0,False,802.89,1.93,Multi-usages,33,0.2041889973359341,0.7958110026640659,1,2
2016,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,7606084.5,False,273.02,4.75,Multi-usages,109,0.0,1.0,1,5
2016,NonResidential,Hotel,7,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,,,,,39.0,10154608.0,False,349.32,3.35,Mono-usage,100,0.0,1.0,0,1
2016,NonResidential,Other,7,DOWNTOWN,47.60265,-122.33051,1916,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,,,,,76.0,44984468.0,False,1265.29,2.34,Mono-usage,100,0.0,1.0,0,1
2016,NonResidential,Other,3,DOWNTOWN,47.60378,-122.32842,1985,1.0,19,385274,0,385274,Other,Other,385274.0,,,,,,47859812.0,False,1699.45,4.41,Mono-usage,31,0.0,1.0,0,1
2016,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54576,-122.26853,1961,1.0,2,56228,0,56228,K-12 School,K-12 School,58916.0,,,,,95.0,1539478.5,True,38.53,0.69,Mono-usage,55,0.0,1.0,0,1
2016,NonResidential,Hotel,4,NORTHEAST,47.65959,-122.31755,2001,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,84.0,3663534.5,False,90.01,1.02,Multi-usages,15,0.3452456203720426,0.6547543796279574,1,2
2016,NonResidential,University,7,DOWNTOWN,47.61816,-122.33629,1928,1.0,7,126593,0,126593,College/University,College/University,125000.0,,,,,,11343686.0,False,388.04,3.07,Mono-usage,88,0.0,1.0,0,1
2016,NonResidential,Other,7,DOWNTOWN,47.615,-122.33081,1930,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,,,,,1310236.625,False,9.13,0.14,Mono-usage,86,0.0,1.0,0,1
2016,NonResidential,Hotel,7,EAST,47.61301,-122.32929,1991,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,5328051.5,False,256.57,1.62,Multi-usages,25,0.1909614560488038,0.8090385439511961,1,4
2016,NonResidential,Hotel,7,DOWNTOWN,47.61784,-122.32966,2001,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,,,,,57.0,11061916.0,False,328.63,1.91,Mono-usage,15,0.2227374815263053,0.7772625184736947,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.61558,-122.34186,1978,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,,,,,57.0,4456714.5,False,128.44,1.88,Mono-usage,38,0.2368074842859231,0.7631925157140769,0,1
2016,SPS-District K-12,K-12 School,5,NORTH,47.70994,-122.29301,1949,1.0,2,160645,0,160645,K-12 School,K-12 School,164229.0,,,,,75.0,6779173.0,True,270.18,1.68,Mono-usage,67,0.0,1.0,0,1
2016,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.6641,-122.33118,1906,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,4145920.5,False,157.77,1.81,Multi-usages,110,0.0,1.0,1,4
2016,NonResidential,Hotel,4,NORTHEAST,47.66583,-122.29965,1994,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,,,,,29.0,6668568.5,False,215.0,2.63,Mono-usage,22,0.0,1.0,0,1
2016,NonResidential,Self-Storage Facility,4,NORTHEAST,47.66172,-122.29598,1955,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,,318364.8125,False,3.93,0.04,Mono-usage,61,0.0,1.0,0,1
2016,Campus,Mixed Use Property,2,GREATER DUWAMISH,47.53493,-122.31788,1992,1.0,3,494835,0,494835,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,448385312.0,False,16870.98,34.09,Multi-usages,24,0.0,1.0,1,5
